ID,date_gmt,time_gmt,Longitude,Latitude,lon_colony,lat_colony,DateTime
69306,2014-01-09,11:02:58,-5.72954,-16.00776,-5.73,-16.01,2014-01-09T11:02:58Z
69306,2014-01-09,08:04:26,-5.72952,-16.0078,-5.73,-16.01,2014-01-09T08:04:26Z
69306,2014-01-06,12:24:15,-5.72834,-16.00751,-5.73,-16.01,2014-01-06T12:24:15Z
69306,2014-01-07,19:31:48,-5.72952,-16.0078,-5.73,-16.01,2014-01-07T19:31:48Z
69306,2014-01-08,23:35:59,-5.72947,-16.00779,-5.73,-16.01,2014-01-08T23:35:59Z
69306,2014-01-08,17:50:34,-5.77679,-16.0029,-5.73,-16.01,2014-01-08T17:50:34Z
69306,2014-01-09,17:13:16,-5.7528,-15.92958,-5.73,-16.01,2014-01-09T17:13:16Z
69306,2014-01-07,12:36:21,-5.72942,-16.00774,-5.73,-16.01,2014-01-07T12:36:21Z
69306,2014-01-07,00:02:03,-5.7296,-16.00787,-5.73,-16.01,2014-01-07T00:02:03Z
69306,2014-01-09,19:24:52,-5.72948,-16.0078,-5.73,-16.01,2014-01-09T19:24:52Z
69306,2014-01-10,02:39:41,-5.72941,-16.00777,-5.73,-16.01,2014-01-10T02:39:41Z
69306,2014-01-06,15:12:36,-5.72966,-16.00783,-5.73,-16.01,2014-01-06T15:12:36Z
69306,2014-01-06,20:29:43,-5.7294,-16.00761,-5.73,-16.01,2014-01-06T20:29:43Z
69306,2014-01-09,21:41:02,-5.72953,-16.00785,-5.73,-16.01,2014-01-09T21:41:02Z
69306,2014-01-10,08:16:10,-5.72952,-16.00784,-5.73,-16.01,2014-01-10T08:16:10Z
69306,2014-01-07,12:49:38,-5.72938,-16.00773,-5.73,-16.01,2014-01-07T12:49:38Z
69306,2014-01-07,00:25:18,-5.72945,-16.00784,-5.73,-16.01,2014-01-07T00:25:18Z
69306,2014-01-09,13:40:11,-5.72946,-16.00774,-5.73,-16.01,2014-01-09T13:40:11Z
69306,2014-01-10,04:52:41,-5.72946,-16.00775,-5.73,-16.01,2014-01-10T04:52:41Z
69306,2014-01-06,10:24:51,-5.72994,-16.00796,-5.73,-16.01,2014-01-06T10:24:51Z
69306,2014-01-07,20:20:01,-5.72953,-16.0079,-5.73,-16.01,2014-01-07T20:20:01Z
69306,2014-01-09,12:50:11,-5.72957,-16.00784,-5.73,-16.01,2014-01-09T12:50:11Z
69306,2014-01-10,01:01:31,-5.72942,-16.00782,-5.73,-16.01,2014-01-10T01:01:31Z
69306,2014-01-06,13:00:38,-5.72946,-16.00778,-5.73,-16.01,2014-01-06T13:00:38Z
69306,2014-01-07,08:35:44,-5.72957,-16.00788,-5.73,-16.01,2014-01-07T08:35:44Z
69306,2014-01-09,12:36:58,-5.72942,-16.0078,-5.73,-16.01,2014-01-09T12:36:58Z
69306,2014-01-09,08:24:27,-5.7291,-16.0081,-5.73,-16.01,2014-01-09T08:24:27Z
69306,2014-01-08,15:07:20,-5.97423,-15.80484,-5.73,-16.01,2014-01-08T15:07:20Z
69306,2014-01-07,06:25:51,-5.72934,-16.00775,-5.73,-16.01,2014-01-07T06:25:51Z
69306,2014-01-08,23:58:06,-5.72904,-16.00775,-5.73,-16.01,2014-01-08T23:58:06Z
69306,2014-01-09,03:06:48,-5.73001,-16.00826,-5.73,-16.01,2014-01-09T03:06:48Z
69306,2014-01-09,17:46:46,-5.75013,-15.92491,-5.73,-16.01,2014-01-09T17:46:46Z
69306,2014-01-07,01:51:37,-5.72942,-16.00778,-5.73,-16.01,2014-01-07T01:51:37Z
69306,2014-01-08,13:43:12,-5.72925,-16.00795,-5.73,-16.01,2014-01-08T13:43:12Z
69306,2014-01-08,23:00:48,-5.72951,-16.00787,-5.73,-16.01,2014-01-08T23:00:48Z
69306,2014-01-06,17:51:53,-5.74142,-15.93019,-5.73,-16.01,2014-01-06T17:51:53Z
69306,2014-01-07,13:32:08,-5.72938,-16.00774,-5.73,-16.01,2014-01-07T13:32:08Z
69306,2014-01-08,05:47:18,-5.72947,-16.00775,-5.73,-16.01,2014-01-08T05:47:18Z
69306,2014-01-09,01:54:14,-5.72948,-16.00785,-5.73,-16.01,2014-01-09T01:54:14Z
69306,2014-01-09,18:58:59,-5.74371,-15.92096,-5.73,-16.01,2014-01-09T18:58:59Z
69306,2014-01-07,03:34:33,-5.72942,-16.00801,-5.73,-16.01,2014-01-07T03:34:33Z
69306,2014-01-08,09:26:49,-5.72957,-16.00782,-5.73,-16.01,2014-01-08T09:26:49Z
69306,2014-01-09,05:25:24,-5.72948,-16.00779,-5.73,-16.01,2014-01-09T05:25:24Z
69306,2014-01-08,17:07:28,-6.05175,-15.94418,-5.73,-16.01,2014-01-08T17:07:28Z
69306,2014-01-07,06:14:17,-5.72954,-16.00772,-5.73,-16.01,2014-01-07T06:14:17Z
69306,2014-01-08,12:08:20,-5.72942,-16.00775,-5.73,-16.01,2014-01-08T12:08:20Z
69306,2014-01-10,06:57:06,-5.73648,-16.01561,-5.73,-16.01,2014-01-10T06:57:06Z
69306,2014-01-07,15:20:24,-5.82653,-16.22923,-5.73,-16.01,2014-01-07T15:20:24Z
69306,2014-01-07,02:33:36,-5.72945,-16.00772,-5.73,-16.01,2014-01-07T02:33:36Z
69306,2014-01-08,05:02:17,-5.72963,-16.00772,-5.73,-16.01,2014-01-08T05:02:17Z
69306,2014-01-10,06:02:38,-5.72897,-16.0083,-5.73,-16.01,2014-01-10T06:02:38Z
69306,2014-01-07,16:01:48,-6.0148,-16.38167,-5.73,-16.01,2014-01-07T16:01:48Z
69306,2014-01-07,02:53:24,-5.72949,-16.00781,-5.73,-16.01,2014-01-07T02:53:24Z
